Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,PRBS-31Q,PRBS-31Q,28153034651760.0,28153034647680.0,21.0,2.384000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3443886668720,3443886666240,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3443886668640,3443886666240,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3471263861920,3471263859840,4,4.650000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3553395441200,3553395440640,1,1.130000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3553395441200,3553395440640,2,2.250000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3553395441280,3553395442560,13,1.468000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3553395441280,3553395440640,1,1.130000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3580415687520,3580415690880,0,0.000000e+00,



