Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,11Q,11Q,55954793422480.0,55954793422080.0,22.0,1.254800e-11,
Total,lock,11Q,11Q,6964936120640,6964936122240,0,0.000000e+00,
Total,lock,11Q,11Q,6964936120640,6964936120320,1,5.740000e-13,
Total,lock,11Q,11Q,6964936120720,6964936120320,1,5.740000e-13,
Total,lock,11Q,11Q,6991081060480,6991081059840,0,0.000000e+00,
Total,lock,11Q,11Q,7017226000000,7017226001280,0,0.000000e+00,
Total,lock,11Q,11Q,7017226000000,7017225999360,20,1.140000e-11,
Total,lock,11Q,11Q,7017226000000,7017225999360,0,0.000000e+00,
Total,lock,11Q,11Q,7017226000000,7017225999360,0,0.000000e+00,



