Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,PRBS-31Q,PRBS-31Q,27126857262000.0,27126857270400.0,24.0,2.836000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3390857157760,3390857160960,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3390857157760,3390857160960,1,1.180000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3390857157760,3390857159040,1,1.180000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3390857157760,3390857159040,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3390857157760,3390857157120,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3390857157760,3390857157120,19,2.246000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3390857157760,3390857159040,3,3.540000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3390857157680,3390857157120,0,0.000000e+00,



