Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,PRBS-31Q,PRBS-31Q,27989593439920.0,27989593440000.0,21.0,2.394000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3453855396480,3453855398400,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3453855396480,3453855396480,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3493718975920,3493718976000,2,2.320000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3507006835760,3507006835200,1,1.140000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3507006835760,3507006837120,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3507006835680,3507006835200,18,2.048000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3507006835840,3507006835200,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3560136328000,3560136326400,0,0.000000e+00,



