Port Flow Statistics,Port 1,Port 2,
link,link up,link up,
lineSpeed,100000,100000,
transmitDuration,00:00:30.190832953,00:00:30.190155873,
framesSent,245374130,245368627,
framesReceived,245374130,245368627,
fragments,0,0,
undersize,0,0,
oversizeAndCrcErrors,0,0,
vlanTaggedFramesRx,0,0,
flowControlFrames,0,0,
bitsSent,2979823434720,2979756606288,
bitsReceived,2979756606288,2979823434720,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecCorrectedCodewords,0,0,
fecTotalCodewords,643539781,643433521,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,
l1BitsSent,3019083295520,3019015586608,
l1BitsReceived,3019015586608,3019083295520,
transceiverTemp,0,0,
transceiverVoltage,0,0,
minLatency,85898936320,335942,
averageLatency,9089018399,335949,
maxLatency,85899009950,335965,
Loss_Frames,0,0,
Loss%,0.0,0.0,
