Port Flow Statistics,Port 1,Port 2,
link,link up,link up,
lineSpeed,100000,100000,
transmitDuration,00:00:30.196309490,00:00:30.195611303,
framesSent,4493498435,4493394539,
framesReceived,4493498435,4493394539,
fragments,0,0,
undersize,0,0,
oversizeAndCrcErrors,0,0,
vlanTaggedFramesRx,0,0,
flowControlFrames,0,0,
bitsSent,2300671198720,2300618003968,
bitsReceived,2300618003968,2300671198720,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecCorrectedCodewords,0,0,
fecTotalCodewords,644343382,644239488,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,
l1BitsSent,3019630948320,3019561130208,
l1BitsReceived,3019561130208,3019630948320,
transceiverTemp,0,0,
transceiverVoltage,0,0,
minLatency,85898936320,335942,
averageLatency,1998154777,335947,
maxLatency,85899009965,335962,
Loss_Frames,0,0,
Loss%,0.0,0.0,
