Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,PRBS-31Q,PRBS-31Q,28183908910720.0,28183905695120.0,23057474.0,2.593027e-05,
Total,lock,PRBS-31Q,PRBS-31Q,3485880247360,3485880248640,55,6.377000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3499143281600,3499143283200,82,9.380000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3499143281840,3499143283200,71,8.120000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3499143281680,3499143283200,59,6.738000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3539948420080,3539948418240,73,8.320000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3553550132720,3553546910480,23056091,2.592870e-05,
Total,lock,PRBS-31Q,PRBS-31Q,3553550132800,3553550133120,1022,1.150380e-09,
Total,lock,PRBS-31Q,PRBS-31Q,3553550132640,3553550135040,21,2.361000e-11,



Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,PRBS-31Q,PRBS-31Q,28783419937840.0,28783419940800.0,42.0,4.672000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3525330580000,3525330580800,5,5.720000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3608298479680,3608298481920,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3608298479680,3608298481920,16,1.771000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3608298479680,3608298478080,9,9.980000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3608298479760,3608298478080,2,2.220000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3608298479680,3608298478080,8,8.870000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3608298479680,3608298481920,1,1.110000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3608298479680,3608298480000,1,1.110000e-12,



