Page 0x00 Registers Name,Port 2,Port 4,
Identifier,0x0018,0x0019,
Revision Compliance,0x0050,0x0050,
Memory Map Characteristics,0x0000,0x0000,
Module State,0x0007,0x0007,
Bank 0 Lane Flag Summary,0x0000,0x0000,
Bank 1 Lane Flag Summary,0x0000,0x0000,
Bank 2 Lane Flag Summary,0x0000,0x0000,
Bank 3 Lane Flag Summary,0x0000,0x0000,
Module State Changed Flag,0x0000,0x0000,
Temp/Vcc3.3 Alarm/Warning,0x0000,0x0000,
Aux 1/Aux 2 Alarm/Warning,0x0000,0x0000,
Aux 3/Vendor Alarm/Warning,0x0000,0x0000,
Reserved,0x0000,0x0000,
Custom,0x0000,0x0000,
Module Monitor 1: Temperature MSB,0x0031,0x0035,
Module Monitor 1: Temperature LSB,0x00ee,0x00be,
Module Monitor 2: Vcc3.3 Supply MSB,0x007e,0x007e,
Module Monitor 2: Vcc3.3 Supply LSB,0x0051,0x0080,
Module Monitor 3: Aux 1 MSB,0x0000,0x0000,
Module Monitor 3: Aux 1 LSB,0x0000,0x0000,
Module Monitor 4: Aux 2 MSB,0x0000,0x0000,
Module Monitor 4: Aux 2 LSB,0x0000,0x0000,
Module Monitor 5: Aux 3 MSB,0x0000,0x0000,
Module Monitor 5: Aux 3 LSB,0x0000,0x0000,
Module Monitor 6: Aux 4 MSB,0x0000,0x0000,
Module Monitor 6: Aux 4 LSB,0x0000,0x0000,
Module Global/Squelch Controls,0x0020,0x0060,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Custom Global Controls,0x0000,0x0000,
Custom Global Controls,0x0000,0x0000,
Module Flag Mask,0x0000,0x0000,
Module Mask Temp/Vcc3.3,0x0000,0x0000,
Module Mask Aux 1/Aux 2,0x0000,0x0000,
Module Mask Aux 3/Vendor,0x00f0,0x00f0,
Reserved Flag Mask,0x0000,0x0000,
Custom Module Level Flag Mask,0x00ff,0x00ff,
CDB Block 1 Status,0x0000,0x0000,
CDB Block 2 Status,0x0000,0x0000,
Active Module Firmware Major Revision,0x0003,0x0003,
Active Module Firmware Minor Revision,0x0000,0x0000,
Module Fault Cause,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
