Basic Infomation,Port 61,Port 62,Port 63,Port 64,
manufacturer,Molex           ,Molex           ,Molex           ,Molex           ,
model,1002971301      ,1002971301      ,1002971301      ,1002971301      ,
serialNumber,629420861       ,629420861       ,629420861       ,629420861       ,
revCompliance,SFF-8636 2.5,SFF-8636 2.5,SFF-8636 2.5,SFF-8636 2.5,
msaType,SFF-8636,SFF-8636,SFF-8636,SFF-8636,
msaRev,2.5,2.5,2.5,2.5,
