Port Flow Statistics,Port 61,Port 62,Port 63,Port 64,
link,link up,link up,link up,link up,
lineSpeed,50000,50000,50000,50000,
transmitDuration,00:00:30.202799114,00:00:30.202272454,00:00:30.201729356,00:00:30.201083348,
framesSent,2247232077,2247192891,2247152482,2247104416,
framesReceived,2247104416,2247152482,2247192891,2247232077,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,1150582823424,1150562760192,1150542070784,1150517460992,
bitsReceived,1150542070784,1150517460992,1150582823424,1150562760192,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,
fecTotalCodewords,323186997,323151060,323120888,323089405,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,
l1BitsSent,1510139955744,1510113622752,1510086467904,1510054167552,
l1BitsReceived,1510086467904,1510054167552,1510139955744,1510113622752,
transceiverTemp,0,0,0,0,
transceiverVoltage,0,0,0,0,
minLatency,85898608640,85898608640,700455,676570,
averageLatency,2016057005,1993335600,700459,676574,
maxLatency,85898645510,85898669392,700467,676582,
Loss_Frames,127661,40409,-40409,-127661,
Loss%,5.6808106873600846e-05,1.798198995815531e-05,-1.798231331593278e-05,-5.681133421794673e-05,
