Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,PRBS-31,PRBS-31,3119709418960.0,3119709417600.0,12.0,6.042000e-11,
Total,lock,PRBS-31,PRBS-31,380007487600,380007486720,0,0.000000e+00,
Total,lock,PRBS-31,PRBS-31,380007487680,380007486720,2,1.052000e-11,
Total,lock,PRBS-31,PRBS-31,380007487680,380007486720,0,0.000000e+00,
Total,lock,PRBS-31,PRBS-31,380007487680,380007488640,1,5.260000e-12,
Total,lock,PRBS-31,PRBS-31,380007487680,380007486720,1,5.260000e-12,
Total,lock,PRBS-31,PRBS-31,406557326880,406557327360,2,9.840000e-12,
Total,lock,PRBS-31,PRBS-31,406557326880,406557327360,6,2.954000e-11,
Total,lock,PRBS-31,PRBS-31,406557326880,406557327360,0,0.000000e+00,



Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,PRBS-31,PRBS-31,3295270790480.0,3295270786560.0,270.0,1.326500e-09,
Total,lock,PRBS-31,PRBS-31,406976525680,406976524800,0,0.000000e+00,
Total,lock,PRBS-31,PRBS-31,406976525600,406976526720,2,9.830000e-12,
Total,lock,PRBS-31,PRBS-31,406976525760,406976524800,126,6.193000e-10,
Total,lock,PRBS-31,PRBS-31,406976525600,406976524800,0,0.000000e+00,
Total,lock,PRBS-31,PRBS-31,406976525680,406976524800,63,3.100000e-10,
Total,lock,PRBS-31,PRBS-31,406976525680,406976524800,66,3.247000e-10,
Total,lock,PRBS-31,PRBS-31,420129387360,420129386880,10,4.882000e-11,
Total,lock,PRBS-31,PRBS-31,433282249120,433282248960,3,1.385000e-11,



