Port Flow Statistics,Port 1,Port 2,Port 3,Port 4,
link,link up,link up,link up,link up,
lineSpeed,100000,100000,100000,100000,
transmitDuration,00:00:30.196982455,00:00:30.196427073,00:00:30.195858357,00:00:30.195162860,
framesSent,4493598579,4493515933,4493431303,4493327807,
framesReceived,4493515933,4493598579,4493327807,4493431303,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,2300722472448,2300680157696,2300636827136,2300583837184,
bitsReceived,2300680157696,2300722472448,2300583837184,2300636827136,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,
fecTotalCodewords,643719276,643613896,643511377,643412815,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,
l1BitsSent,3019698245088,3019642706976,3019585835616,3019516286304,
l1BitsReceived,3019642706976,3019698245088,3019516286304,3019585835616,
transceiverTemp,0,0,36,36,
transceiverVoltage,0,0,3.2404000000000002,3.2522000000000002,
minLatency,869189120,85030092800,84982251520,917066240,
averageLatency,869189229,1120147960,1059092809,917067174,
maxLatency,869189245,85030156692,84982278752,917067190,
Loss_Frames,0,0,0,0,
Loss%,0.0,0.0,0.0,0.0,
