Page 0x24 Registers Name,Port 3,
VDM Sample 1 MSB,0x0000,
VDM Sample 1 LSB,0x0000,
VDM Sample 2 MSB,0x0000,
VDM Sample 2 LSB,0x0000,
VDM Sample 3 MSB,0x0000,
VDM Sample 3 LSB,0x0000,
VDM Sample 4 MSB,0x0000,
VDM Sample 4 LSB,0x0000,
VDM Sample 5 MSB,0x0000,
VDM Sample 5 LSB,0x0000,
VDM Sample 6 MSB,0x0000,
VDM Sample 6 LSB,0x0000,
VDM Sample 7 MSB,0x0000,
VDM Sample 7 LSB,0x0000,
VDM Sample 8 MSB,0x0000,
VDM Sample 8 LSB,0x0000,
VDM Sample 9 MSB,0x0000,
VDM Sample 9 LSB,0x0000,
VDM Sample 10 MSB,0x0000,
VDM Sample 10 LSB,0x0000,
VDM Sample 11 MSB,0x0000,
VDM Sample 11 LSB,0x0000,
VDM Sample 12 MSB,0x0000,
VDM Sample 12 LSB,0x0000,
VDM Sample 13 MSB,0x0000,
VDM Sample 13 LSB,0x0000,
VDM Sample 14 MSB,0x0000,
VDM Sample 14 LSB,0x0000,
VDM Sample 15 MSB,0x0000,
VDM Sample 15 LSB,0x0000,
VDM Sample 16 MSB,0x0000,
VDM Sample 16 LSB,0x0000,
VDM Sample 17 MSB,0x0000,
VDM Sample 17 LSB,0x0000,
VDM Sample 18 MSB,0x0000,
VDM Sample 18 LSB,0x0000,
VDM Sample 19 MSB,0x0000,
VDM Sample 19 LSB,0x0000,
VDM Sample 20 MSB,0x0000,
VDM Sample 20 LSB,0x0000,
VDM Sample 21 MSB,0x0000,
VDM Sample 21 LSB,0x0000,
VDM Sample 22 MSB,0x0000,
VDM Sample 22 LSB,0x0000,
VDM Sample 23 MSB,0x0000,
VDM Sample 23 LSB,0x0000,
VDM Sample 24 MSB,0x0000,
VDM Sample 24 LSB,0x0000,
VDM Sample 25 MSB,0x0000,
VDM Sample 25 LSB,0x0000,
VDM Sample 26 MSB,0x0000,
VDM Sample 26 LSB,0x0000,
VDM Sample 27 MSB,0x0000,
VDM Sample 27 LSB,0x0000,
VDM Sample 28 MSB,0x0000,
VDM Sample 28 LSB,0x0000,
VDM Sample 29 MSB,0x0000,
VDM Sample 29 LSB,0x0000,
VDM Sample 30 MSB,0x0000,
VDM Sample 30 LSB,0x0000,
VDM Sample 31 MSB,0x0000,
VDM Sample 31 LSB,0x0000,
VDM Sample 32 MSB,0x0000,
VDM Sample 32 LSB,0x0000,
VDM Sample 33 MSB,0x0000,
VDM Sample 33 LSB,0x0000,
VDM Sample 34 MSB,0x0000,
VDM Sample 34 LSB,0x0000,
VDM Sample 35 MSB,0x0000,
VDM Sample 35 LSB,0x0000,
VDM Sample 36 MSB,0x0000,
VDM Sample 36 LSB,0x0000,
VDM Sample 37 MSB,0x0000,
VDM Sample 37 LSB,0x0000,
VDM Sample 38 MSB,0x0000,
VDM Sample 38 LSB,0x0000,
VDM Sample 39 MSB,0x0000,
VDM Sample 39 LSB,0x0000,
VDM Sample 40 MSB,0x0000,
VDM Sample 40 LSB,0x0000,
VDM Sample 41 MSB,0x0000,
VDM Sample 41 LSB,0x0000,
VDM Sample 42 MSB,0x0000,
VDM Sample 42 LSB,0x0000,
VDM Sample 43 MSB,0x0000,
VDM Sample 43 LSB,0x0000,
VDM Sample 44 MSB,0x0000,
VDM Sample 44 LSB,0x0000,
VDM Sample 45 MSB,0x0000,
VDM Sample 45 LSB,0x0000,
VDM Sample 46 MSB,0x0000,
VDM Sample 46 LSB,0x0000,
VDM Sample 47 MSB,0x0000,
VDM Sample 47 LSB,0x0000,
VDM Sample 48 MSB,0x0000,
VDM Sample 48 LSB,0x0000,
VDM Sample 49 MSB,0x0000,
VDM Sample 49 LSB,0x0000,
VDM Sample 50 MSB,0x0000,
VDM Sample 50 LSB,0x0000,
VDM Sample 51 MSB,0x0000,
VDM Sample 51 LSB,0x0000,
VDM Sample 52 MSB,0x0000,
VDM Sample 52 LSB,0x0000,
VDM Sample 53 MSB,0x0000,
VDM Sample 53 LSB,0x0000,
VDM Sample 54 MSB,0x0000,
VDM Sample 54 LSB,0x0000,
VDM Sample 55 MSB,0x0000,
VDM Sample 55 LSB,0x0000,
VDM Sample 56 MSB,0x0000,
VDM Sample 56 LSB,0x0000,
VDM Sample 57 MSB,0x0000,
VDM Sample 57 LSB,0x0000,
VDM Sample 58 MSB,0x0000,
VDM Sample 58 LSB,0x0000,
VDM Sample 59 MSB,0x0000,
VDM Sample 59 LSB,0x0000,
VDM Sample 60 MSB,0x0000,
VDM Sample 60 LSB,0x0000,
VDM Sample 61 MSB,0x0000,
VDM Sample 61 LSB,0x0000,
VDM Sample 62 MSB,0x0000,
VDM Sample 62 LSB,0x0000,
VDM Sample 63 MSB,0x0000,
VDM Sample 63 LSB,0x0000,
VDM Sample 64 MSB,0x0000,
VDM Sample 64 LSB,0x0000,
