Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,11Q,11Q,55950579511520.0,55950579504000.0,3687.0,2.106418e-09,
Total,lock,11Q,11Q,6944766868240,6944766867840,168,9.711000e-11,
Total,lock,11Q,11Q,6974213938720,6974213936640,381,2.186940e-10,
Total,lock,11Q,11Q,6974213938640,6974213938560,324,1.861000e-10,
Total,lock,11Q,11Q,6974213938800,6974213936640,42,2.407400e-11,
Total,lock,11Q,11Q,7000830377680,7000830376320,837,4.794000e-10,
Total,lock,11Q,11Q,7027446816320,7027446816000,1164,6.621000e-10,
Total,lock,11Q,11Q,7027446816480,7027446816000,580,3.302000e-10,
Total,lock,11Q,11Q,7027446816640,7027446816000,191,1.087400e-10,



Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,11Q,11Q,56524873758160.0,56524873760640.0,35370.0,1.995863e-08,
Total,lock,11Q,11Q,6976152176880,6976152176640,79,4.532300e-11,
Total,lock,11Q,11Q,7031202664960,7031202666240,142,8.142800e-11,
Total,lock,11Q,11Q,7086253152640,7086253152000,1941,1.096000e-09,
Total,lock,11Q,11Q,7086253152640,7086253153920,236,1.336800e-10,
Total,lock,11Q,11Q,7086253152880,7086253152000,19284,1.088200e-08,
Total,lock,11Q,11Q,7086253152720,7086253152000,7902,4.457000e-09,
Total,lock,11Q,11Q,7086253152800,7086253155840,5244,2.957000e-09,
Total,lock,11Q,11Q,7086253152640,7086253152000,542,3.062000e-10,



