Port Flow Statistics,Port 1,Port 2,Port 3,Port 4,
link,link up,link up,link up,link up,
lineSpeed,100000,100000,100000,100000,
transmitDuration,00:00:30.200236585,00:00:30.199751446,00:00:30.199213662,00:00:30.198432465,
framesSent,709592025,709580626,709567990,709549635,
framesReceived,709592025,709580626,709567990,709549635,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,2906488934400,2906442244096,2906390487040,2906315304960,
bitsReceived,2906442244096,2906488934400,2906315304960,2906390487040,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,
fecTotalCodewords,644503003,644397551,644300428,644203006,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,
l1BitsSent,3020023658400,3019975144256,3019921365440,3019843246560,
l1BitsReceived,3019975144256,3020023658400,3019843246560,3019921365440,
transceiverTemp,0,0,37,37,
transceiverVoltage,0,0,3.2522000000000002,3.2471999999999999,
minLatency,85899035830,310035,85899018240,324210,
averageLatency,5973237668,310051,6181235440,324213,
maxLatency,85899035850,310055,85899021692,324227,
Loss_Frames,0,0,0,0,
Loss%,0.0,0.0,0.0,0.0,
