Page 0x00 Registers Name,Port 1,Port 2,Port 3,Port 4,
Identifier,0x0011,0x0011,0x0011,0x0011,
Revision Compliance,0x0007,0x0007,0x0006,0x0006,
Memory Map Characteristics,0x0004,0x0004,0x0002,0x0002,
Module State,0x0000,0x0000,0x0000,0x0000,
Bank 0 Lane Flag Summary,0x0000,0x0000,0x0000,0x0000,
Bank 1 Lane Flag Summary,0x0000,0x0000,0x0000,0x0000,
Bank 2 Lane Flag Summary,0x0000,0x0000,0x0000,0x0000,
Bank 3 Lane Flag Summary,0x0000,0x0000,0x0000,0x0000,
Module State Changed Flag,0x0000,0x0000,0x0000,0x0000,
Temp/Vcc3.3 Alarm/Warning,0x0000,0x0000,0x0000,0x0000,
Aux 1/Aux 2 Alarm/Warning,0x0000,0x0000,0x0000,0x0000,
Aux 3/Vendor Alarm/Warning,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Module Monitor 1: Temperature MSB,0x0000,0x0000,0x0000,0x0000,
Module Monitor 1: Temperature LSB,0x0000,0x0000,0x0000,0x0000,
Module Monitor 2: Vcc3.3 Supply MSB,0x0000,0x0000,0x0000,0x0000,
Module Monitor 2: Vcc3.3 Supply LSB,0x0000,0x0000,0x0000,0x0000,
Module Monitor 3: Aux 1 MSB,0x0000,0x0000,0x0000,0x0000,
Module Monitor 3: Aux 1 LSB,0x0000,0x0000,0x0000,0x0000,
Module Monitor 4: Aux 2 MSB,0x0000,0x0000,0x0000,0x0000,
Module Monitor 4: Aux 2 LSB,0x0000,0x0000,0x0000,0x0000,
Module Monitor 5: Aux 3 MSB,0x0000,0x0000,0x0025,0x0025,
Module Monitor 5: Aux 3 LSB,0x0000,0x0000,0x002e,0x0009,
Module Monitor 6: Aux 4 MSB,0x0000,0x0000,0x0000,0x0000,
Module Monitor 6: Aux 4 LSB,0x0000,0x0000,0x0000,0x0000,
Module Global/Squelch Controls,0x0000,0x0000,0x007e,0x007e,
Reserved,0x0000,0x0000,0x00df,0x00d8,
Reserved,0x0000,0x0000,0x0000,0x0000,
Custom Global Controls,0x0000,0x0000,0x0000,0x0000,
Custom Global Controls,0x0000,0x0000,0x0000,0x0000,
Module Flag Mask,0x0000,0x0000,0x0000,0x0000,
Module Mask Temp/Vcc3.3,0x0000,0x0000,0x0000,0x0000,
Module Mask Aux 1/Aux 2,0x0000,0x0000,0x0000,0x0000,
Module Mask Aux 3/Vendor,0x0000,0x0000,0x0022,0x0022,
Reserved Flag Mask,0x0000,0x0000,0x0028,0x009e,
Custom Module Level Flag Mask,0x0000,0x0000,0x0023,0x0022,
Reserved,0x0000,0x0000,0x00ca,0x009e,
Reserved,0x0000,0x0000,0x0022,0x0022,
Reserved,0x0000,0x0000,0x0096,0x0086,
Reserved,0x0000,0x0000,0x0022,0x0022,
Reserved,0x0000,0x0000,0x008a,0x0073,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Reserved,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Custom,0x0000,0x0000,0x0000,0x0000,
Module Media Type Encoding,0x0000,0x0000,0x0000,0x0000,
ApSel1 Host Electrical Interface Code,0x0000,0x0000,0x0000,0x0000,
ApSel1 Module Media Interface Code,0x0000,0x0000,0x0000,0x0000,
ApSel1 Host/Media Lane Count,0x0000,0x0000,0x0000,0x0000,
ApSel1 Host Lane Assignment Options,0x0000,0x0000,0x0000,0x0000,
ApSel2 Host Electrical Interface Code,0x0000,0x0000,0x0000,0x0000,
ApSel2 Module Media Interface Code,0x0000,0x0000,0x0000,0x0000,
ApSel2 Host/Media Lane Count,0x0000,0x0000,0x0000,0x0000,
ApSel2 Host Lane Assignment Options,0x0000,0x0000,0x0001,0x0001,
ApSel3 Host Electrical Interface Code,0x0000,0x0000,0x0000,0x0000,
ApSel3 Module Media Interface Code,0x0000,0x0000,0x0000,0x0000,
ApSel3 Host/Media Lane Count,0x0000,0x0000,0x0000,0x0000,
ApSel3 Host Lane Assignment Options,0x0000,0x0000,0x0000,0x0000,
ApSel4 Host Electrical Interface Code,0x0000,0x0000,0x00ff,0x00ff,
ApSel4 Module Media Interface Code,0x0000,0x0000,0x0000,0x0000,
ApSel4 Host/Media Lane Count,0x0000,0x0000,0x0000,0x0000,
ApSel4 Host Lane Assignment Options,0x0000,0x0000,0x0000,0x0000,
ApSel5 Host Electrical Interface Code,0x0000,0x0000,0x0000,0x0000,
ApSel5 Module Media Interface Code,0x0000,0x0000,0x0000,0x0000,
ApSel5 Host/Media Lane Count,0x0000,0x0000,0x0000,0x0000,
ApSel5 Host Lane Assignment Options,0x0000,0x0000,0x0000,0x0000,
ApSel6 Host Electrical Interface Code,0x0000,0x0000,0x0000,0x0000,
ApSel6 Module Media Interface Code,0x0000,0x0000,0x0000,0x0000,
ApSel6 Host/Media Lane Count,0x0000,0x0000,0x0000,0x0000,
ApSel6 Host Lane Assignment Options,0x0002,0x0002,0x0000,0x0000,
ApSel7 Host Electrical Interface Code,0x0038,0x0038,0x0000,0x0000,
ApSel7 Module Media Interface Code,0x0000,0x0000,0x0000,0x0000,
ApSel7 Host/Media Lane Count,0x0000,0x0000,0x0000,0x0000,
ApSel7 Host Lane Assignment Options,0x0010,0x0010,0x0000,0x0000,
ApSel8 Host Electrical Interface Code,0x0000,0x0000,0x0000,0x0000,
ApSel8 Module Media Interface Code,0x0000,0x0000,0x0000,0x0000,
ApSel8 Host/Media Lane Count,0x0000,0x0000,0x0000,0x0000,
ApSel8 Host Lane Assignment Options,0x0000,0x0000,0x0000,0x0000,
Password,0x0000,0x0000,0x0000,0x0000,
Password,0x0000,0x0000,0x0000,0x0000,
Password,0x0000,0x0000,0x0000,0x0000,
Password,0x0000,0x0000,0x0000,0x0000,
Password,0x0000,0x0000,0x0000,0x0000,
Password,0x0000,0x0000,0x0000,0x0000,
Password,0x0000,0x0000,0x0000,0x0000,
Password,0x0000,0x0000,0x0000,0x0000,
Bank Select,0x0000,0x0000,0x0000,0x0000,
Page Select,0x0000,0x0000,0x0000,0x0000,
Identifier,0x0011,0x0011,0x0011,0x0011,
Vendor Name,0x0000,0x0000,0x008c,0x008c,
Vendor Name,0x0023,0x0023,0x0023,0x0023,
Vendor Name,0x0088,0x0088,0x0081,0x0081,
Vendor Name,0x0000,0x0000,0x0000,0x0000,
Vendor Name,0x0070,0x0070,0x0000,0x0000,
Vendor Name,0x0000,0x0000,0x0000,0x0000,
Vendor Name,0x0000,0x0000,0x0000,0x0000,
Vendor Name,0x0000,0x0000,0x0000,0x0000,
Vendor Name,0x0000,0x0000,0x0000,0x0000,
Vendor Name,0x0000,0x0000,0x0000,0x0000,
Vendor Name,0x0000,0x0000,0x0005,0x0005,
Vendor Name,0x00ff,0x00ff,0x00ff,0x00ff,
Vendor Name,0x0000,0x0000,0x0000,0x0000,
Vendor Name,0x0000,0x0000,0x0000,0x0000,
Vendor Name,0x0000,0x0000,0x0000,0x0000,
Vendor Name,0x0000,0x0000,0x0000,0x0000,
Vendor OUI,0x0000,0x0000,0x0000,0x0000,
Vendor OUI,0x0003,0x0003,0x0003,0x0003,
Vendor OUI,0x00a0,0x00a0,0x0000,0x0000,
Vendor PN,0x004d,0x004d,0x004d,0x004d,
Vendor PN,0x006f,0x006f,0x0065,0x0065,
Vendor PN,0x006c,0x006c,0x006c,0x006c,
Vendor PN,0x0065,0x0065,0x006c,0x006c,
Vendor PN,0x0078,0x0078,0x0061,0x0061,
Vendor PN,0x0020,0x0020,0x006e,0x006e,
Vendor PN,0x0020,0x0020,0x006f,0x006f,
Vendor PN,0x0020,0x0020,0x0078,0x0078,
Vendor PN,0x0020,0x0020,0x0020,0x0020,
Vendor PN,0x0020,0x0020,0x0020,0x0020,
Vendor PN,0x0020,0x0020,0x0020,0x0020,
Vendor PN,0x0020,0x0020,0x0020,0x0020,
Vendor PN,0x0020,0x0020,0x0020,0x0020,
Vendor PN,0x0020,0x0020,0x0020,0x0020,
Vendor PN,0x0020,0x0020,0x0020,0x0020,
Vendor PN,0x0020,0x0020,0x0020,0x0020,
Vendor Rev,0x000f,0x000f,0x0000,0x0000,
Vendor Rev,0x0000,0x0000,0x0000,0x0000,
