Port Flow Statistics,Port 1,Port 2,Port 3,Port 4,
link,link up,link up,link up,link up,
lineSpeed,100000,100000,100000,100000,
transmitDuration,00:00:30.204191040,00:00:30.203721684,00:00:30.203193412,00:00:30.202549087,
framesSent,2551029649,2550990007,2550945389,2550890970,
framesReceived,2551029649,2550990007,2550945389,2550890970,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,2612254360576,2612213767168,2612168078336,2612112353280,
bitsReceived,2612213767168,2612254360576,2612112353280,2612168078336,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,
fecTotalCodewords,644500281,644396134,644293204,644190896,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,
l1BitsSent,3020419104416,3020372168288,3020319340576,3020254908480,
l1BitsReceived,3020372168288,3020419104416,3020254908480,3020319340576,
transceiverTemp,0,0,37,37,
transceiverVoltage,0,0,3.2522000000000002,3.2450999999999999,
minLatency,85899035845,310050,85899018240,324195,
averageLatency,413728984,310052,910594995,324209,
maxLatency,85899035852,310070,85899021692,324212,
Loss_Frames,0,0,0,0,
Loss%,0.0,0.0,0.0,0.0,
