Port Flow Statistics,Port 1,Port 2,Port 3,Port 4,
link,link up,link up,link up,link up,
lineSpeed,100000,100000,100000,100000,
transmitDuration,00:00:30.219273203,00:00:30.218771577,00:00:30.218264534,00:00:30.217529184,
framesSent,1368626504,1368603785,1368580821,1368547517,
framesReceived,1368626504,1368603785,1368580821,1368547517,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,2802947080192,2802900551680,2802853521408,2802785314816,
bitsReceived,2802900551680,2802947080192,2802785314816,2802853521408,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,
fecTotalCodewords,644603456,644494513,644395021,644298236,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,
l1BitsSent,3021927320832,3021877157280,3021826452768,3021752917536,
l1BitsReceived,3021877157280,3021927320832,3021752917536,3021826452768,
transceiverTemp,0,0,37,36,
transceiverVoltage,0,0,3.2522000000000002,3.2404000000000002,
minLatency,85899018240,310052,85899021672,324207,
averageLatency,3260888079,310055,2580463430,324213,
maxLatency,85899035850,310070,85899021692,324227,
Loss_Frames,0,0,0,0,
Loss%,0.0,0.0,0.0,0.0,
