Port Flow Statistics,Port 1,Port 2,Port 3,Port 4,
link,link up,link up,link up,link up,
lineSpeed,100000,100000,100000,100000,
transmitDuration,00:00:30.189439032,00:00:30.188695213,00:00:30.188179978,00:00:30.187523758,
framesSent,361463590,361454684,361448515,361440658,
framesReceived,361463590,361454684,361448515,361440658,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,2961109729280,2961036771328,2960986234880,2960921870336,
bitsReceived,2961036771328,2961109729280,2960921870336,2960986234880,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,
fecTotalCodewords,644342765,644234706,644131463,644030206,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,
l1BitsSent,3018943903680,3018869520768,3018817997280,3018752375616,
l1BitsReceived,3018869520768,3018943903680,3018752375616,3018817997280,
transceiverTemp,0,0,37,37,
transceiverVoltage,0,0,3.2522000000000002,3.2450999999999999,
minLatency,85899018240,310047,85899021687,324212,
averageLatency,7678603676,310053,7372152249,324217,
maxLatency,85899035850,310070,85899021707,324232,
Loss_Frames,0,0,0,0,
Loss%,0.0,0.0,0.0,0.0,
