Port Flow Statistics,Port 1,Port 2,Port 3,Port 4,
link,link up,link up,link up,link up,
lineSpeed,100000,100000,100000,100000,
transmitDuration,00:00:30.198513019,00:00:30.198025163,00:00:30.197519140,00:00:30.196850073,
framesSent,4493826342,4493753743,4493678444,4493578879,
framesReceived,4493826342,4493753743,4493678444,4493578879,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,2300839087104,2300801916416,2300763363328,2300712386048,
bitsReceived,2300801916416,2300839087104,2300712386048,2300763363328,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,
fecTotalCodewords,645432415,645325530,645227553,645132222,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,
l1BitsSent,3019851301824,3019802515296,3019751914368,3019685006688,
l1BitsReceived,3019802515296,3019851301824,3019685006688,3019751914368,
transceiverTemp,0,0,37,37,
transceiverVoltage,0,0,3.2479,3.2471999999999999,
minLatency,85899018240,310052,85899018240,324210,
averageLatency,2004153769,310057,1983298322,324215,
maxLatency,85899035865,310072,85899021692,324230,
Loss_Frames,0,0,0,0,
Loss%,0.0,0.0,0.0,0.0,
