Port Flow Statistics,Port 1,Port 2,Port 3,Port 4,
link,link up,link up,link up,link up,
lineSpeed,100000,100000,100000,100000,
transmitDuration,00:00:30.203300356,00:00:30.202791089,00:00:30.202255989,00:00:30.201599950,
framesSent,245475458,245471319,245466970,245461638,
framesReceived,245475458,245471319,245466970,245461638,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,2981053961952,2981003697936,2980950883680,2980886131872,
bitsReceived,2981003697936,2981053961952,2980886131872,2980950883680,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,
fecTotalCodewords,644375312,644266613,644169392,644073438,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,
l1BitsSent,3020330035232,3020279108976,3020225598880,3020159993952,
l1BitsReceived,3020279108976,3020330035232,3020159993952,3020225598880,
transceiverTemp,0,0,37,37,
transceiverVoltage,0,0,3.25,3.2450999999999999,
minLatency,85899018240,310050,85899018240,324212,
averageLatency,9115069026,310056,9096612715,324217,
maxLatency,85899035852,310072,85899021695,324235,
Loss_Frames,0,0,0,0,
Loss%,0.0,0.0,0.0,0.0,
