Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,PRBS-31Q,PRBS-31Q,28153005975120.0,28153005974400.0,12.0,1.354000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3439830923520,3439830923520,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3439830923520,3439830923520,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3492708552240,3492708552960,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3545586181120,3545586182400,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3545586181040,3545586182400,1,1.130000e-12,
Total,lock,PRBS-31Q,PRBS-31Q,3545586180960,3545586180480,11,1.241000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,3545586181040,3545586178560,0,0.000000e+00,
Total,lock,PRBS-31Q,PRBS-31Q,3598290851680,3598290850560,0,0.000000e+00,



