Port Flow Statistics,Port 1,Port 2,Port 3,Port 4,
link,link up,link up,link up,link up,
lineSpeed,100000,100000,100000,100000,
transmitDuration,00:00:30.194163838,00:00:30.193630983,00:00:30.193049552,00:00:30.192384572,
framesSent,4493179143,4493099848,4493013325,4492914371,
framesReceived,4493179143,4493099848,4493013325,4492914371,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,2300507721216,2300467122176,2300422822400,2300372157952,
bitsReceived,2300467122176,2300507721216,2300372157952,2300422822400,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,
fecTotalCodewords,643641276,643538048,643439201,643339520,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,
l1BitsSent,3019416384096,3019363097856,3019304954400,3019238457312,
l1BitsReceived,3019363097856,3019416384096,3019238457312,3019304954400,
transceiverTemp,0,0,36,36,
transceiverVoltage,0,0,3.2429999999999999,3.25,
minLatency,869189120,85030092800,84982251520,917066240,
averageLatency,869189233,1125835824,1064359682,917067171,
maxLatency,869189247,85030156692,84982278755,917067175,
Loss_Frames,0,0,0,0,
Loss%,0.0,0.0,0.0,0.0,
