Port Flow Statistics,Port 1,Port 2,
link,link up,link up,
lineSpeed,100000,100000,
transmitDuration,00:00:30.191085217,00:00:30.190450965,
framesSent,4492721015,4492626632,
framesReceived,4492721015,4492626632,
fragments,0,0,
undersize,0,0,
oversizeAndCrcErrors,0,0,
vlanTaggedFramesRx,0,0,
flowControlFrames,0,0,
bitsSent,2300273159680,2300224835584,
bitsReceived,2300224835584,2300273159680,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecCorrectedCodewords,0,0,
fecTotalCodewords,645031929,644924661,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,
l1BitsSent,3019108522080,3019045096704,
l1BitsReceived,3019045096704,3019108522080,
transceiverTemp,0,0,
transceiverVoltage,0,0,
minLatency,225512960,85673820160,
averageLatency,225515457,1754801421,
maxLatency,225515472,85673830472,
Loss_Frames,0,0,
Loss%,0.0,0.0,
