Page 0x00 Registers Name,Port 1,Port 2,
Identifier,0x0011,0x0011,
Revision Compliance,0x0007,0x0007,
Memory Map Characteristics,0x0004,0x0004,
Module State,0x0000,0x0000,
Bank 0 Lane Flag Summary,0x0000,0x0000,
Bank 1 Lane Flag Summary,0x0000,0x0000,
Bank 2 Lane Flag Summary,0x0000,0x0000,
Bank 3 Lane Flag Summary,0x0000,0x0000,
Module State Changed Flag,0x0000,0x0000,
Temp/Vcc3.3 Alarm/Warning,0x0000,0x0000,
Aux 1/Aux 2 Alarm/Warning,0x0000,0x0000,
Aux 3/Vendor Alarm/Warning,0x0000,0x0000,
Reserved,0x0000,0x0000,
Custom,0x0000,0x0000,
Module Monitor 1: Temperature MSB,0x0000,0x0000,
Module Monitor 1: Temperature LSB,0x0000,0x0000,
Module Monitor 2: Vcc3.3 Supply MSB,0x0000,0x0000,
Module Monitor 2: Vcc3.3 Supply LSB,0x0000,0x0000,
Module Monitor 3: Aux 1 MSB,0x0000,0x0000,
Module Monitor 3: Aux 1 LSB,0x0000,0x0000,
Module Monitor 4: Aux 2 MSB,0x0000,0x0000,
Module Monitor 4: Aux 2 LSB,0x0000,0x0000,
Module Monitor 5: Aux 3 MSB,0x0000,0x0000,
Module Monitor 5: Aux 3 LSB,0x0000,0x0000,
Module Monitor 6: Aux 4 MSB,0x0000,0x0000,
Module Monitor 6: Aux 4 LSB,0x0000,0x0000,
Module Global/Squelch Controls,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Custom Global Controls,0x0000,0x0000,
Custom Global Controls,0x0000,0x0000,
Module Flag Mask,0x0000,0x0000,
Module Mask Temp/Vcc3.3,0x0000,0x0000,
Module Mask Aux 1/Aux 2,0x0000,0x0000,
Module Mask Aux 3/Vendor,0x0000,0x0000,
Reserved Flag Mask,0x0000,0x0000,
Custom Module Level Flag Mask,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Reserved,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Custom,0x0000,0x0000,
Module Media Type Encoding,0x0000,0x0000,
ApSel1 Host Electrical Interface Code,0x0000,0x0000,
ApSel1 Module Media Interface Code,0x0000,0x0000,
ApSel1 Host/Media Lane Count,0x0000,0x0000,
ApSel1 Host Lane Assignment Options,0x0000,0x0000,
ApSel2 Host Electrical Interface Code,0x0000,0x0000,
ApSel2 Module Media Interface Code,0x0000,0x0000,
ApSel2 Host/Media Lane Count,0x0000,0x0000,
ApSel2 Host Lane Assignment Options,0x0000,0x0000,
ApSel3 Host Electrical Interface Code,0x0000,0x0000,
ApSel3 Module Media Interface Code,0x0000,0x0000,
ApSel3 Host/Media Lane Count,0x0000,0x0000,
ApSel3 Host Lane Assignment Options,0x0000,0x0000,
ApSel4 Host Electrical Interface Code,0x0000,0x0000,
ApSel4 Module Media Interface Code,0x0000,0x0000,
ApSel4 Host/Media Lane Count,0x0000,0x0000,
ApSel4 Host Lane Assignment Options,0x0000,0x0000,
ApSel5 Host Electrical Interface Code,0x0000,0x0000,
ApSel5 Module Media Interface Code,0x0000,0x0000,
ApSel5 Host/Media Lane Count,0x0000,0x0000,
ApSel5 Host Lane Assignment Options,0x0000,0x0000,
ApSel6 Host Electrical Interface Code,0x0000,0x0000,
ApSel6 Module Media Interface Code,0x0000,0x0000,
ApSel6 Host/Media Lane Count,0x0000,0x0000,
ApSel6 Host Lane Assignment Options,0x0002,0x0002,
ApSel7 Host Electrical Interface Code,0x0038,0x0038,
ApSel7 Module Media Interface Code,0x0000,0x0000,
ApSel7 Host/Media Lane Count,0x0000,0x0000,
ApSel7 Host Lane Assignment Options,0x0010,0x0010,
ApSel8 Host Electrical Interface Code,0x0000,0x0000,
ApSel8 Module Media Interface Code,0x0000,0x0000,
ApSel8 Host/Media Lane Count,0x0000,0x0000,
