Port Flow Statistics,Port 1,Port 2,Port 3,Port 4,
link,link up,link up,link up,link up,
lineSpeed,100000,100000,100000,100000,
transmitDuration,00:00:30.194750899,00:00:30.194240967,00:00:30.193707458,00:00:30.193044352,
framesSent,4493266503,4493190620,4493111229,4493012551,
framesReceived,4493190620,4493266503,4493012551,4493111229,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,2300552449536,2300513597440,2300472949248,2300422426112,
bitsReceived,2300513597440,2300552449536,2300422426112,2300472949248,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,
fecTotalCodewords,643744712,643640574,643541946,643446197,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,
l1BitsSent,3019475090016,3019424096640,3019370745888,3019304434272,
l1BitsReceived,3019424096640,3019475090016,3019304434272,3019370745888,
transceiverTemp,0,0,36,36,
transceiverVoltage,0,0,3.2450999999999999,3.2522000000000002,
minLatency,869189120,85030092800,84982251520,917066240,
averageLatency,869189233,1122015551,1061355717,917067175,
maxLatency,869189247,85030156690,84982278750,917067190,
Loss_Frames,0,0,0,0,
Loss%,0.0,0.0,0.0,0.0,
