Port Flow Statistics,Port 1,Port 2,Port 3,Port 4,
link,link up,link up,link up,link up,
lineSpeed,100000,100000,100000,100000,
transmitDuration,00:00:30.194899694,00:00:30.194317511,00:00:30.193693236,00:00:30.192954241,
framesSent,4493288645,4493202011,4493109113,4492999143,
framesReceived,4493202011,4493288645,4492999143,4493109113,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,2300563786240,2300519429632,2300471865856,2300415561216,
bitsReceived,2300519429632,2300563786240,2300415561216,2300471865856,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,
fecTotalCodewords,649651810,649651810,649651810,649651809,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,
l1BitsSent,3019489969440,3019431751392,3019369323936,3019295424096,
l1BitsReceived,3019431751392,3019489969440,3019295424096,3019369323936,
transceiverTemp,0,0,36,36,
transceiverVoltage,0,0,3.2450999999999999,3.25,
minLatency,869189120,85030092800,84982251520,917066240,
averageLatency,869189231,1125379133,1063739773,917067176,
maxLatency,869189247,85030156687,84982278750,917067192,
Loss_Frames,0,0,0,0,
Loss%,0.0,0.0,0.0,0.0,
