Physical Lane,PCS Lane Marker Lock,PCS Lane Marker Map,Relative Lane Skew (ns),PCS Lane Marker Error Count,FEC Symbol Error Count,FEC Corrected Bits Count,FEC Symbol Error Rate,FEC Corrected Bit Rate
Port 61
Totals, 1,0,0.0,0,0,0,0.0,0.0,
Lane-0,1,1,0.0,0,0,0,0.0,0.0,



Port 62
Totals, 1,0,0.0,0,0,0,0.0,0.0,
Lane-0,1,1,0.0,0,0,0,0.0,0.0,



Port 63
Totals, 1,0,0.0,0,0,0,0.0,0.0,
Lane-0,1,1,0.0,0,0,0,0.0,0.0,



Port 64
Totals, 1,0,0.0,0,0,0,0.0,0.0,
Lane-0,1,1,0.0,0,0,0,0.0,0.0,



Port 65
Totals, 1,0,0.0,0,0,0,0.0,0.0,
Lane-0,1,1,0.0,0,0,0,0.0,0.0,



Port 66
Totals, 1,0,0.0,0,0,0,0.0,0.0,
Lane-0,1,1,0.0,0,0,0,0.0,0.0,



Port 67
Totals, 1,0,0.0,0,0,0,0.0,0.0,
Lane-0,1,1,0.0,0,0,0,0.0,0.0,



Port 68
Totals, 1,0,3.103,0,0,0,0.0,0.0,
Lane-0,1,1,0.0,0,0,0,0.0,0.0,



