Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,PRBS-31Q,PRBS-31Q,13893519437600.0,13893519439680.0,262.0,3.020700e-10,
Total,lock,PRBS-31Q,PRBS-31Q,1732144326720,1732144327680,26,2.997000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,1732144326880,1732144327680,42,4.847000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,1732144326800,1732144327680,36,4.156000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,1732144326880,1732144327680,9,1.040000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,1732144326720,1732144327680,28,3.240000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,1732144326720,1732144325760,80,9.240000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,1744265934560,1744265933760,14,1.614000e-11,
Total,lock,PRBS-31Q,PRBS-31Q,1756387542320,1756387541760,27,3.073000e-11,



