Port Flow Statistics,Port 1,Port 2,
link,link up,link up,
lineSpeed,100000,100000,
transmitDuration,00:00:10.193088036,00:00:10.192418605,
framesSent,860902706,860846166,
framesReceived,860902706,860846166,
fragments,0,0,
undersize,0,0,
oversizeAndCrcErrors,0,0,
vlanTaggedFramesRx,0,0,
flowControlFrames,0,0,
bitsSent,881564370944,881506473984,
bitsReceived,881506473984,881564370944,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecCorrectedCodewords,0,0,
fecTotalCodewords,253602461,253494851,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,
l1BitsSent,1019308803904,1019241860544,
l1BitsReceived,1019241860544,1019308803904,
transceiverTemp,0,0,
transceiverVoltage,0,0,
minLatency,85899018240,310047,
averageLatency,5823720615,310052,
maxLatency,85899035865,310055,
Loss_Frames,0,0,
Loss%,0.0,0.0,
