Page 0x27 Registers Name,Port 1,
VDM Sample 193 MSB,0x0000,
VDM Sample 193 LSB,0x0000,
VDM Sample 194 MSB,0x0000,
VDM Sample 194 LSB,0x0000,
VDM Sample 195 MSB,0x0000,
VDM Sample 195 LSB,0x0000,
VDM Sample 196 MSB,0x0000,
VDM Sample 196 LSB,0x0000,
VDM Sample 197 MSB,0x0000,
VDM Sample 197 LSB,0x0000,
VDM Sample 198 MSB,0x0000,
VDM Sample 198 LSB,0x0000,
VDM Sample 199 MSB,0x0000,
VDM Sample 199 LSB,0x0000,
VDM Sample 200 MSB,0x0000,
VDM Sample 200 LSB,0x0000,
VDM Sample 201 MSB,0x0000,
VDM Sample 201 LSB,0x0000,
VDM Sample 202 MSB,0x0000,
VDM Sample 202 LSB,0x0000,
VDM Sample 203 MSB,0x0000,
VDM Sample 203 LSB,0x0000,
VDM Sample 204 MSB,0x0000,
VDM Sample 204 LSB,0x0000,
VDM Sample 205 MSB,0x0000,
VDM Sample 205 LSB,0x0000,
VDM Sample 206 MSB,0x0000,
VDM Sample 206 LSB,0x0000,
VDM Sample 207 MSB,0x0000,
VDM Sample 207 LSB,0x0000,
VDM Sample 208 MSB,0x0000,
VDM Sample 208 LSB,0x0000,
VDM Sample 209 MSB,0x0000,
VDM Sample 209 LSB,0x0000,
VDM Sample 210 MSB,0x0000,
VDM Sample 210 LSB,0x0000,
VDM Sample 211 MSB,0x0000,
VDM Sample 211 LSB,0x0000,
VDM Sample 212 MSB,0x0000,
VDM Sample 212 LSB,0x0000,
VDM Sample 213 MSB,0x0000,
VDM Sample 213 LSB,0x0000,
VDM Sample 214 MSB,0x0000,
VDM Sample 214 LSB,0x0000,
VDM Sample 215 MSB,0x0000,
VDM Sample 215 LSB,0x0000,
VDM Sample 216 MSB,0x0000,
VDM Sample 216 LSB,0x0000,
VDM Sample 217 MSB,0x0000,
VDM Sample 217 LSB,0x0000,
VDM Sample 218 MSB,0x0000,
VDM Sample 218 LSB,0x0000,
VDM Sample 219 MSB,0x0000,
VDM Sample 219 LSB,0x0000,
VDM Sample 220 MSB,0x0000,
VDM Sample 220 LSB,0x0000,
VDM Sample 221 MSB,0x0000,
VDM Sample 221 LSB,0x0000,
VDM Sample 222 MSB,0x0000,
VDM Sample 222 LSB,0x0000,
VDM Sample 223 MSB,0x0000,
VDM Sample 223 LSB,0x0000,
VDM Sample 224 MSB,0x0000,
VDM Sample 224 LSB,0x0000,
VDM Sample 225 MSB,0x0000,
VDM Sample 225 LSB,0x0000,
VDM Sample 226 MSB,0x0000,
VDM Sample 226 LSB,0x0000,
VDM Sample 227 MSB,0x0000,
VDM Sample 227 LSB,0x0000,
VDM Sample 228 MSB,0x0000,
VDM Sample 228 LSB,0x0000,
VDM Sample 229 MSB,0x0000,
VDM Sample 229 LSB,0x0000,
VDM Sample 230 MSB,0x0000,
VDM Sample 230 LSB,0x0000,
VDM Sample 231 MSB,0x0000,
VDM Sample 231 LSB,0x0000,
VDM Sample 232 MSB,0x0000,
VDM Sample 232 LSB,0x0000,
VDM Sample 233 MSB,0x0000,
VDM Sample 233 LSB,0x0000,
VDM Sample 234 MSB,0x0000,
VDM Sample 234 LSB,0x0000,
VDM Sample 235 MSB,0x0000,
VDM Sample 235 LSB,0x0000,
VDM Sample 236 MSB,0x0000,
VDM Sample 236 LSB,0x0000,
VDM Sample 237 MSB,0x0000,
VDM Sample 237 LSB,0x0000,
VDM Sample 238 MSB,0x0000,
VDM Sample 238 LSB,0x0000,
VDM Sample 239 MSB,0x0000,
VDM Sample 239 LSB,0x0000,
VDM Sample 240 MSB,0x0000,
VDM Sample 240 LSB,0x0000,
VDM Sample 241 MSB,0x0000,
VDM Sample 241 LSB,0x0000,
VDM Sample 242 MSB,0x0000,
VDM Sample 242 LSB,0x0000,
VDM Sample 243 MSB,0x0000,
VDM Sample 243 LSB,0x0000,
VDM Sample 244 MSB,0x0000,
VDM Sample 244 LSB,0x0000,
VDM Sample 245 MSB,0x0000,
VDM Sample 245 LSB,0x0000,
VDM Sample 246 MSB,0x0000,
VDM Sample 246 LSB,0x0000,
VDM Sample 247 MSB,0x0000,
VDM Sample 247 LSB,0x0000,
VDM Sample 248 MSB,0x0000,
VDM Sample 248 LSB,0x0000,
VDM Sample 249 MSB,0x0000,
VDM Sample 249 LSB,0x0000,
VDM Sample 250 MSB,0x0000,
VDM Sample 250 LSB,0x0000,
VDM Sample 251 MSB,0x0000,
VDM Sample 251 LSB,0x0000,
VDM Sample 252 MSB,0x0000,
VDM Sample 252 LSB,0x0000,
VDM Sample 253 MSB,0x0000,
VDM Sample 253 LSB,0x0000,
VDM Sample 254 MSB,0x0000,
VDM Sample 254 LSB,0x0000,
VDM Sample 255 MSB,0x0000,
VDM Sample 255 LSB,0x0000,
VDM Sample 256 MSB,0x0000,
VDM Sample 256 LSB,0x0000,
