Port Flow Statistics,Port 1,Port 2,Port 3,Port 4,
link,link up,link up,link up,link up,
lineSpeed,100000,100000,100000,100000,
transmitDuration,00:00:30.191967982,00:00:30.191349213,00:00:30.190835633,00:00:30.190070749,
framesSent,4492852379,4492760300,4492683873,4492570051,
framesReceived,4492760300,4492852379,4492570051,4492683873,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,2300340418048,2300293273600,2300254142976,2300195866112,
bitsReceived,2300293273600,2300340418048,2300195866112,2300254142976,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,
fecTotalCodewords,643522647,643418672,643319368,643220255,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,
l1BitsSent,3019196798688,3019134921600,3019083562656,3019007074272,
l1BitsReceived,3019134921600,3019196798688,3019007074272,3019083562656,
transceiverTemp,0,0,36,36,
transceiverVoltage,0,0,3.2408999999999999,3.2452999999999999,
minLatency,869189120,85030092800,84982251520,917066240,
averageLatency,869189231,1120299220,1059247574,917067172,
maxLatency,869189247,85030156690,84982278752,917067175,
Loss_Frames,0,0,0,0,
Loss%,0.0,0.0,0.0,0.0,
