Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,11Q,11Q,27879138175520.0,21290335958320.0,433687.0,6.337975e-07,
Total,lock,11Q,11Q,3453395338240,2607939040320,0,0.000000e+00,
Total,lock,11Q,11Q,3453395338080,2621477202240,1,1.530000e-12,
Total,lock,11Q,11Q,3453395338000,2621948258720,0,0.000000e+00,
Total,lock,11Q,11Q,3493180938800,2682512235840,2,2.970000e-12,
Total,lock,11Q,11Q,3506442805600,2673782400960,0,0.000000e+00,
Total,lock,11Q,11Q,3506442805520,2671645580080,9456,1.411500e-08,
Total,lock,11Q,11Q,3506442805520,2739344380160,405721,5.920000e-07,
Total,lock,11Q,11Q,3506442805760,2671686860000,18507,2.767800e-08,



