Port Flow Statistics,Port 3,
link,link up,
lineSpeed,800000,
transmitDuration,00:01:00.075160265,
framesSent,40591324448,
framesReceived,0,
fragments,0,
undersize,0,
oversizeAndCrcErrors,0,
vlanTaggedFramesRx,0,
flowControlFrames,0,
bitsSent,41565516234752,
bitsReceived,0,
pcsSyncErrorsReceived,0,
pcsRemoteFaultsReceived,0,
pcsLocalFaultsReceived,0,
fecTotalBitErrors,1163,
fecMaxSymbolErrors,1,
fecCorrectedCodewords,1163,
fecTotalCodewords,9837663616,
fecFrameLossRatio,0.000000e+00,
preFecBer,2.173146e-11,
fecMaxSymbolErrorsBin0,9837662453,
fecMaxSymbolErrorsBin1,1163,
fecMaxSymbolErrorsBin2,0,
fecMaxSymbolErrorsBin3,0,
fecMaxSymbolErrorsBin4,0,
fecMaxSymbolErrorsBin5,0,
fecMaxSymbolErrorsBin6,0,
fecMaxSymbolErrorsBin7,0,
fecMaxSymbolErrorsBin8,0,
fecMaxSymbolErrorsBin9,0,
fecMaxSymbolErrorsBin10,0,
fecMaxSymbolErrorsBin11,0,
fecMaxSymbolErrorsBin12,0,
fecMaxSymbolErrorsBin13,0,
fecMaxSymbolErrorsBin14,0,
fecMaxSymbolErrorsBin15,0,
fecUncorrectableCodewords,0,
fecTranscodingUncorrectableErrors,0,
l1BitsSent,48060128146432,
l1BitsReceived,0,
transceiverTemp,0,
encoding,PAM4 106G,
fecStatus,KP4-FEC,
transceiverVoltage,0,
minLatency,0,
averageLatency,0,
maxLatency,0,
