Port Flow Statistics,Port 1,Port 2,Port 3,Port 4,
link,link up,link up,link up,link up,
lineSpeed,100000,100000,100000,100000,
transmitDuration,00:00:30.193956755,00:00:30.193426613,00:00:30.192838637,00:00:30.192161805,
framesSent,4493148327,4493069436,4492981939,4492881221,
framesReceived,4493148327,4493069436,4492981939,4492881221,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,2300491943424,2300451551232,2300406752768,2300355185152,
bitsReceived,2300451551232,2300491943424,2300355185152,2300406752768,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,
fecTotalCodewords,645869170,645736137,645636715,645541895,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,
l1BitsSent,3019395675744,3019342660992,3019283863008,3019216180512,
l1BitsReceived,3019342660992,3019395675744,3019216180512,3019283863008,
transceiverTemp,0,0,36,36,
transceiverVoltage,0,0,3.2446000000000002,3.2473999999999998,
minLatency,869189120,85030092800,84982251520,917066240,
averageLatency,869189232,1121398558,1060491594,917067171,
maxLatency,869189247,85030156690,84982278752,917067175,
Loss_Frames,0,0,0,0,
Loss%,0.0,0.0,0.0,0.0,
