Page 0x00 Registers Name,Port 1,Port 2,Port 3,Port 4,
Identifier,0x0011,0x0011,0x0011,0x0011,
Status - Revision Compliance,0x0007,0x0007,0x0006,0x0006,
Status,0x0004,0x0004,0x0002,0x0002,
Interrupt Flags - Latched TX/RX LOS indicator,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Latched TX fault indicator,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Channel Tx CDR Loss of Lock Flag,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Latched Temp Alarm/Warn,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Latched Vcc Alarm/Warn,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Vendor Specific,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Latched-Rx1/Rx2 Power Alarm/Warn,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Latched-Rx3/Rx4 Power Alarm/Warn,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Latched-Tx1/Tx2 Bias Alarm/Warn,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Latched-Tx3/Tx4 Bias Alarm/Warn,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Latched-Tx1/Tx2 Power Alarm/Warn,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Latched-Tx3/Tx4 Power Alarm/Warn,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Reserved channel monitor flags,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Reserved channel monitor flags,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Reserved channel monitor flags,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Reserved channel monitor flags,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Vendor Specific,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Vendor Specific,0x0000,0x0000,0x0000,0x0000,
Interrupt Flags - Vendor Specific,0x0000,0x0000,0x0000,0x0000,
FREE SIDE MONITORING VALUES - Temperature MSB,0x0000,0x0000,0x0024,0x0024,
FREE SIDE MONITORING VALUES - Temperature LSB,0x0000,0x0000,0x0074,0x0029,
FREE SIDE MONITORING VALUES - Reserved,0x0000,0x0000,0x0000,0x0000,
FREE SIDE MONITORING VALUES - Reserved,0x0000,0x0000,0x0000,0x0000,
FREE SIDE MONITORING VALUES - Supply Voltage MSB,0x0000,0x0000,0x007e,0x007e,
FREE SIDE MONITORING VALUES - Supply Voltage LSB,0x0000,0x0000,0x00be,0x00da,
FREE SIDE MONITORING VALUES - Reserved,0x0000,0x0000,0x0000,0x0000,
FREE SIDE MONITORING VALUES - Reserved,0x0000,0x0000,0x0000,0x0000,
FREE SIDE MONITORING VALUES - Vendor Specific,0x0000,0x0000,0x0000,0x0000,
FREE SIDE MONITORING VALUES - Vendor Specific,0x0000,0x0000,0x0000,0x0000,
FREE SIDE MONITORING VALUES - Vendor Specific,0x0000,0x0000,0x0000,0x0000,
FREE SIDE MONITORING VALUES - Vendor Specific,0x0000,0x0000,0x0000,0x0000,
CHANNEL MONITORING VALUES - Rx1 Power MSB,0x0000,0x0000,0x0022,0x0021,
CHANNEL MONITORING VALUES - Rx1 Power LSB,0x0000,0x0000,0x00e2,0x0081,
CHANNEL MONITORING VALUES - Rx2 Power MSB,0x0000,0x0000,0x0022,0x0024,
CHANNEL MONITORING VALUES - Rx2 Power LSB,0x0000,0x0000,0x0031,0x0008,
CHANNEL MONITORING VALUES - Rx3 Power MSB ,0x0000,0x0000,0x0022,0x0022,
CHANNEL MONITORING VALUES - Rx3 Power LSB,0x0000,0x0000,0x0031,0x002d,
CHANNEL MONITORING VALUES - Rx4 Power MSB,0x0000,0x0000,0x0022,0x0021,
CHANNEL MONITORING VALUES - Rx4 Power LSB,0x0000,0x0000,0x00ee,0x0081,
CHANNEL MONITORING VALUES - Tx1 Bias MSB,0x0000,0x0000,0x0000,0x0000,
CHANNEL MONITORING VALUES - Tx1 Bias LSB,0x0000,0x0000,0x0000,0x0000,
CHANNEL MONITORING VALUES - Tx2 Bias MSB,0x0000,0x0000,0x0000,0x0000,
CHANNEL MONITORING VALUES - Tx2 Bias LSB,0x0000,0x0000,0x0000,0x0000,
CHANNEL MONITORING VALUES - Tx3 Bias MSB,0x0000,0x0000,0x0000,0x0000,
CHANNEL MONITORING VALUES - Tx3 Bias LSB,0x0000,0x0000,0x0000,0x0000,
CHANNEL MONITORING VALUES - Tx4 Bias MSB,0x0000,0x0000,0x0000,0x0000,
CHANNEL MONITORING VALUES - Tx4 Bias LSB,0x0000,0x0000,0x0000,0x0000,
CHANNEL MONITORING VALUES - Tx1 PWR MSB,0x0000,0x0000,0x0000,0x0000,
CHANNEL MONITORING VALUES - Tx1 PWR LSB,0x0000,0x0000,0x0000,0x0000,
